source,target,pathway_name,prob,pval
Immune,EG,JAM,0.0008377741481145995,0.0
Immune,Keratinocyte,JAM,0.0007319441715055482,0.0
Immune,Immune,JAM,0.0008424647580793384,0.0
FIB,EG,MIF,0.0025097428528331285,0.0
ENDO,ENDO,MIF,0.0020888682304668455,0.0
EG,FIB,MIF,0.003024795362651386,0.0
EG,ENDO,MIF,0.0010668120972513444,0.0
EG,SM,MIF,0.001534346270843896,0.0
EG,EG,MIF,0.010529902579368693,0.0
EG,Immune,MIF,0.001376416673519745,0.0
Keratinocyte,FIB,MIF,0.002443638033372354,0.0
Keratinocyte,ENDO,MIF,0.0019157388204447852,0.0
Immune,EG,MIF,0.0012772242310320158,0.0
ENDO,EG,PTN,0.0015998998495400088,0.0
SM,FIB,PTN,0.0012035867218472588,0.0
SM,SM,PTN,0.004220014370701185,0.0
SM,EG,PTN,0.00725367840329357,0.0
EG,EG,PTN,0.005801313859129185,0.0
Keratinocyte,EG,PTN,0.004261692397212003,0.0
FIB,FIB,ADGRE,0.00045204037404713253,0.0
FIB,SM,ADGRE,0.0014909466543712511,0.0
FIB,Keratinocyte,ADGRE,0.0010074070122873826,0.0
FIB,Immune,ADGRE,0.00019214150197098217,0.0
ENDO,SM,ADGRE,0.0006701824605697597,0.0
SM,FIB,ADGRE,0.0014909466543712516,0.0
SM,ENDO,ADGRE,0.0004479895520997985,0.0
SM,SM,ADGRE,0.006812035604401693,0.0
SM,Immune,ADGRE,0.000458181924398023,0.0
EG,EG,ADGRE,0.004770383306518584,0.0
EG,Immune,ADGRE,0.00027252274443748803,0.0
Keratinocyte,FIB,ADGRE,0.0010074070122873826,0.0
Keratinocyte,Keratinocyte,ADGRE,0.00017724690376684981,0.0
Keratinocyte,Immune,ADGRE,0.0010602964163675304,0.0
Immune,FIB,ADGRE,0.00019214150197098217,0.0
Immune,SM,ADGRE,0.0013442477131682064,0.0
Immune,EG,ADGRE,0.00027252274443748803,0.0
Immune,Keratinocyte,ADGRE,0.0010602964163675304,0.0
